type,handle,cpi,details
Missing Images in Manifest,astley-jacket-golden-oak,2012-000265,No image assets found in manifest for this CPI.
Missing Images in Manifest,chika-top-ivory-animal,4015-373102,No image assets found in manifest for this CPI.
Missing Images in Manifest,kiera-dress-berry-blue,3019-000406,No image assets found in manifest for this CPI.
Missing Images in Manifest,mack-skirt-nightfall,5018-000445,No image assets found in manifest for this CPI.
Missing Images in Manifest,pogo-sweater-storm,8835-000067,No image assets found in manifest for this CPI.
Missing Images in Manifest,sleary-top-macadamia,4008-000171,No image assets found in manifest for this CPI.
Missing Tracker Record,small-tote-black,7152-000001,Product ID 'S126-7152 LLC036 000001 BLACK' from export tags not found in tracker file.
Missing Images in Manifest,varda-skirt-black-flowers,5013-418001,No image assets found in manifest for this CPI.
Missing Images in Manifest,varda-skirt-golden-oak,5023-000265,No image assets found in manifest for this CPI.
Missing Images in Manifest,varda-skirt-green-lily,5013-000397,No image assets found in manifest for this CPI.
Missing Images in Manifest,varda-skirt-storm-flowers,5013-418067,No image assets found in manifest for this CPI.
Missing Tracker Record,xl-tote-black,7151-000001,Product ID 'S126-7151 LLC036 000001 BLACK' from export tags not found in tracker file.
